MBLNR,MJAHR,ZEILE,MATNR,WERKS,CHARG,BWART,MENGE,MEINS,BUDAT,CPUDT_TIME,LGORT,LIFNR,KUNNR,AUFNR,VBELN,SGTXT,stage,event_ts
4900000104,2024,2,RM-EXC-300,UK01,BATCH002,103,500,KG,2024-03-13,2024-03-13 11:00:00,QI01,V2002,,,To QI,,raw_material_receipt,2024-03-13 11:00:00
4900000105,2024,1,RM-EXC-300,UK01,BATCH002,321,500,KG,2024-03-14,2024-03-14 08:00:00,QI01,V2002,,,QI start,,quality_inspection_and_release,2024-03-14 08:00:00
4900000105,2024,2,RM-EXC-300,UK01,BATCH002,322,500,KG,2024-03-20,2024-03-20 10:00:00,QI01,V2002,,,Retest loop,,quality_inspection_and_release,2024-03-20 10:00:00
4900000105,2024,3,RM-EXC-300,UK01,BATCH002,105,500,KG,2024-03-22,2024-03-22 16:00:00,RAW2,V2002,,,Released,,quality_inspection_and_release,2024-03-22 16:00:00
4900000106,2024,1,RM-EXC-300,UK01,BATCH002,261,400,KG,2024-03-23,2024-03-23 06:00:00,RAW2,,PO2002,,GI production,,manufacturing,2024-03-23 06:00:00
4900000106,2024,2,FG-INJ-400,UK01,BATCH002,101F,2000,EA,2024-04-02,2024-04-02 21:00:00,PRD1,,PO2002,,GR production,,manufacturing,2024-04-02 21:00:00
4900000107,2024,1,FG-INJ-400,UK01,BATCH002,Z04,2000,EA,2024-04-03,2024-04-03 07:00:00,PKG1,,,Pack start,,,packaging,2024-04-03 07:00:00
4900000107,2024,2,FG-INJ-400,UK01,BATCH002,309,2000,EA,2024-04-05,2024-04-05 18:00:00,PKG1,,,Pack done,,,packaging,2024-04-05 18:00:00
4900000108,2024,1,FG-INJ-400,UK01,BATCH002,501,2000,EA,2024-04-06,2024-04-06 09:00:00,FG01,,,FG start,,,finished_goods,2024-04-06 09:00:00
4900000108,2024,2,FG-INJ-400,UK01,BATCH002,Z05,2000,EA,2024-04-07,2024-04-07 12:00:00,FG01,,,FG done,,,finished_goods,2024-04-07 12:00:00
4900000109,2024,1,FG-INJ-400,UK01,BATCH002,311,2000,EA,2024-04-08,2024-04-08 08:00:00,FG01,,,WH start,,,warehouse,2024-04-08 08:00:00
4900000109,2024,2,FG-INJ-400,UK01,BATCH002,315,2000,EA,2024-04-10,2024-04-10 17:00:00,WH01,,,WH done,,,warehouse,2024-04-10 17:00:00
4900000110,2024,1,FG-INJ-400,UK01,BATCH002,641,2000,EA,2024-04-11,2024-04-11 07:00:00,WH01,,,STO GI,,,distribution_center,2024-04-11 07:00:00
4900000110,2024,2,FG-INJ-400,DC02,BATCH002,Z07,2000,EA,2024-04-14,2024-04-14 16:00:00,DC01,,,DC GR,,,distribution_center,2024-04-14 16:00:00
4900000111,2024,1,FG-INJ-400,DC02,BATCH002,601,2000,EA,2024-04-15,2024-04-15 09:00:00,DC01,,C9002,DN9002,Shipment GI,,customer_shipment,2024-04-15 09:00:00
4900000111,2024,2,FG-INJ-400,DC02,BATCH002,601,2000,EA,2024-04-16,2024-04-16 13:00:00,DC01,,C9002,DN9002,In transit,,customer_shipment,2024-04-16 13:00:00
4900000112,2024,1,FG-INJ-400,DC02,BATCH002,Z06,2000,EA,2024-04-17,2024-04-17 10:00:00,,,C9002,DN9002,POD,,customer,2024-04-17 10:00:00
4900000112,2024,2,FG-INJ-400,DC02,BATCH002,Z06,2000,EA,2024-04-18,2024-04-18 15:00:00,,,C9002,DN9002,Customer received,,customer,2024-04-18 15:00:00
4900000201,2024,1,RM-API-100,US01,BATCH003,Z01,200,KG,2024-05-01,2024-05-01 08:00:00,RAW1,V3003,,,Partial chain only,,supplier,2024-05-01 08:00:00
4900000202,2024,1,RM-API-100,US01,BATCH003,Z02,200,KG,2024-05-03,2024-05-03 10:00:00,RAW1,,,Missing LIFNR ok,,,raw_material_procurement,2024-05-03 10:00:00
